"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6681564.24581006","6703910.61452514","6586592.17877095","6793296.08938548","6603351.95530726","348603.351955307","353072.625698324","354189.944134078","368156.424581006","396089.38547486","408938.547486034","432402.234636871","477653.631284916","483240.223463687","508379.888268156","502793.296089385","537988.826815642","561452.51396648","486033.519553073","413407.82122905","370949.720670391","555307.262569832","739664.804469274","729050.279329609","616592.72441857","536312.849162011","864228.970513073","1137299.48873189","","","",
"Africa Eastern and Southern","AFE","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46218787672.4134","54233192935.9354","31035607794.6782","31648977291.9999","30791944840.7134","33691845462.6693","34902470620.4944","38446333552.8834","36304241474.509","33664289600.5467","37074459826.8194","33419791779.5445","34861361934.3572","39969465921.9674","44828309445.1593","51970287400.3656","60295623843.3717","75410631453.7611","90084336120.1457","92053128361.8619","99423708397.9205","99771013140.017","108003609640.151","112754816376.348","122622888848.519","118437610125.893","107198410170.285","121892530124.28","122430439464.73","131961904778.455","138295871141.17","152958055185.307","174335516831.717","180831982833.644","189700372169.168","",
"Afghanistan","AFG","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1477787814.89031","1691686554.69326","1552895061.63349","1930134271.84251","1996430511.50265","2934602243.82149","2516433516.78043","3637622477.63069","4156043696.24108","4227582690.79689","4855571648.43621","4595531180.00041","4537457828.43798","3948217043.4989","4663262627.13517","4954700541.75017","3979453237.53176","4845363322.05338","5981905980.86851","4791018919.53499","4885778832.03434","5959243270.69578","","",
"Africa Western and Central","AFW","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","33939766939.0549","32201484279.3109","26030940413.0352","24358655693.0532","25037343704.1477","24747166872.3937","27764228052.7095","29434079200.3176","26737851733.1554","30198172649.5462","31925353221.8133","30349640429.6275","31503887176.5294","33992175558.9599","52930626079.8682","67224458073.4353","72760504413.9918","80166387578.2277","32977832008.3984","29539292404.5381","34392638454.6944","53488209923.6598","57403383204.7938","61524658726.0777","73980294143.0278","89852777844.646","103855349841.767","129803635778.545","122091993238.986","134075162496.611","141817290529.676","152140210546.697","165625630973.696","173521254931.687","156993858608.777","144181083300.276","141286429106.279","159842577234.815","240989749440.362","244783751615.777","263058721664.806","269866361229.363","226611671765.227","166094642347.176","",
"Angola","AGO","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1624995422.40826","2034228443.36909","2797960127.61225","3545773963.04154","4950960705.06682","6293114336.09689","7723750237.24802","8469678963.07933","9641932866.64699","11998098428.1895","13922235157.374","15375040475.6128","17613306275.301","14011251327.8833","8784822640.43033","12596064030.1272","11940819281.4169","10003931065.3174","8841032248.23865","13176590937.7311","24916008355.1117","22172752173.0425","22289780488.1933","",
"Albania","ALB","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","953958388.306049","1085547310.50466","663817099.522836","682880865.308283","775751293.265749","795022316.815732","830176232.075734","892341444.584198","1149181093.70433","1374901583.31596","1413929432.88199","1467888836.28338","1726743871.75267","2044740164.69522","1884774608.08868","1977190645.3379","2169240907.10466","2154326905.34096","2421806214.29523","2557914484.26242","2150331496.48615","2297891014.76126","2396972720.33431","2755324399.34461","2830318199.77187","2866329744.13254","3208472473.91808","3229979649.89317","3823020945.89895","4179188054.89164","",
"Andorra","AND","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7407373.19953265","6842610.11541979","6808130.79932183","9920275.82212731","12028530.1310326","12030355.809903","12229528.4097972","14595599.118508","16693066.7149074","15454182.8112665","16094200.1222311","17803105.1733402","19169049.9500217","18699905.0395447","17589354.9861304","14323818.1463138","15120303.8229131","16787052.9571648","17584405.7380195","16489864.2748714","16173504.2364073","17681970.5402995","16480206.9029426","18111240.8632845","18822587.1045254","",
"Arab World","ARB","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","5461666478.85995","5791193163.75731","6689903805.38878","7366310804.95865","8763130610.01384","9861451101.90413","11799289346.7397","13427052010.8359","15523442527.7363","16969720801.7294","19514058087.8497","20223674095.5619","23277773380.7449","25646692562.2551","28171020637.4208","29758279702.6749","32799245111.7373","34855679622.7048","38232377492.7723","41671428739.341","45472886223.2026","51370495069.4905","67338623471.2962","57195575506.8972","41452015597.561","43154383816.545","49778913248.1063","48843045171.2858","51106880841.7779","52041985531.1536","56011334607.6056","55987140712.0537","56058792550.9317","58092325947.4072","58393569975.6428","61889217669.4311","65331276929.1125","70509987640.8488","80598056011.7398","93869167546.2607","107701298538.831","112498777073.924","123004056508.904","131917997673.299","130837243780.458","137381121704.999","146245953437.675","144940014607.661","137576421988.542","129939791466.846","135012126263.335","142077029756.48","145972654525.151","150415085204.918","162284461729.064","180001714437.44","201069626410.179","",
"United Arab Emirates","ARE","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","79519650.8203777","104728676.836648","120667127.814926","149565601.048354","170874046.957865","213898550.587816","270498501.770635","298556251.702533","312721329.338055","352220103.514029","375919368.019613","402070280.577499","415962952.873876","434486515.935712","494688095.886679","536638518.114955","669027512.939254","747752655.952057","823753745.573413","1085535276.49142","1174884227.73086","1318714246.79924","1579950967.03895","1650374404.35671","1970319945.54118","2360789652.82505","2312321307.01157","2419605173.58747","2397004765.14636","2461810755.61607","2520353982.30089","2430496936.69163","2518992511.91287","2609938733.83254","2628999319.26481","2253505786.24915","2398366235.53438","2465622872.70252","2585976855.0034","2658407079.64602","2736010891.7631","2827773995.91559","3040163376.44656","3108781484.00272","3187746766.50783","3439346494.21375","3761198093.94146","3788972089.85705","3993192648.05991","4249693669.1627","",
"Argentina","ARG","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","3657647056.60044","2942857060.50856","2420909129.36153","2570000119.25664","2871142801.33423","3043947529.01047","3617599855.69986","3815374911.49548","6280333430.12474","7410889160.41332","3452513642.24721","4171424983.67595","4591960171.9075","6682651626.3937","5399103642.90823","4889779676.74007","5094736992.14826","8090277995.49755","9002848956.56769","9757703167.93748","6729709924.5774","8258471348.61148","8807543104.62087","11392038083.9036","7368764600.79244","11483031946.9881","12742527110.645","13705657846.124","12161011111.1111","13084820500","13808477800","15269958100","15293015300","15702922200","12638962300","13300482400","12275651800","9974343869.19277","13177395614.839","13769497386.4639","15777249624.7271","16129176942.5676","21427791191.1784","26462268578.7967","17559926036.6081","30213817111.0998","37104355520.7365","31567304377.5225","33413631489.5722","35330279234.9601","30669352553.9863","34926979196.276","33672207049.2462","23815691141.681","23814083576.0785","24521654022.3675","35476761997.5008","41473141590.8404","37972587012.1696","37063607556.0073","",
